        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
     adpsfc_t181     9674     3686      367      365      365       0.7528      1.47864     0.595913
     adpsfc_t183     9674     3686      220      218      218  3.45349e+09    0.0913153    0.0420603
     adpsfc_t187     9674     2706     2076     2076     2076       2.2585      0.25973     0.199926
     adpsfc_q181     9674     3597     3336     3334     3334      943.048     0.053709    0.0243577
     adpsfc_q183     9674     3597     3553     3549     3549      968.267    0.0179774    0.0080823
     adpsfc_q187     9674     2657     2399     2397     2397      388.763     0.524714     0.304017
    adpsfc_ps181     9674     7440      368      366      366      55.5518      1.22435     0.252796
    adpsfc_ps187     9674     2757     1971     1971     1971      55.0847       1.6123      0.33386
    adpsfc_uv281     9674     7188      658      654      654      1.72399     0.409997     0.164328
    adpsfc_uv284     9674     9170      436      430      430      1.28593     0.807092     0.252029
    adpsfc_uv287     9674     5270     4098     4072     4072       1.5874     0.549781     0.298652
     aircar_t133    32511    14092    14092    14078    14078      1.27793     0.424397     0.228436
     aircar_q133    32511     1041     1041     1041     1041     0.731841     0.211275      0.13754
    aircar_uv233    32511    28622    28622    28584    28584      2.38257     0.522312     0.220706
     sfcshp_t180     3383      964      708      707      707   8.4096e+08    0.0627961    0.0457476
     sfcshp_t183     3383      440       66       66       66  2.46183e+09    0.0987221    0.0827928
     sfcshp_q180     3383      607      500      499      499   0.00109617     0.432757     0.196434
     sfcshp_q183     3383      343      332      331      331       925.36    0.0955284    0.0498589
    sfcshp_ps180     3383     3357     1318     1312     1312      38.2083      3.24909     0.711734
    sfcshp_uv280     3383     2894     2096     2090     2090      2.65012     0.200179     0.125912
    sfcshp_uv282     3383     2894       50       50       50      1.07942     0.691996     0.268805
    sfcshp_uv284     3383     2894      310      292      292       1.1206      1.83352     0.672513
