               program              observation         number         status
            larccld.fd                GOES_EAST        1045603           read
            larccld.fd                GOES_WEST         826727           read
           metarcld.fd                raw_METAR           5881           read
           metarcld.fd       METAR_on_MPAS_mesh        1063245      processed
          lightning.fd            raw_lightning          30757           read
          lightning.fd   lightning_on_MPAS_mesh           3585      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           67.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1063245       ingested
      cloudanalysis.fd                lightning           3585       ingested
      cloudanalysis.fd                     refl             33       ingested
