        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3906876  3906876  3906876  3772824  3772824            5     0.303249     0.303249
     adpsfc_t181     9853      370      370      368      368       0.7528      1.11975     0.539682
     adpsfc_t183     9853      213      213      211      211  3.22902e+09    0.0456749    0.0211085
     adpsfc_t187     9853     2101     2101     2099     2099       2.2585     0.141828     0.122871
     adpsfc_q181     9853     3390     3390     3387     3387      943.481     0.037069    0.0160848
     adpsfc_q183     9853     3600     3600     3595     3595      969.669    0.0137176   0.00663758
     adpsfc_q187     9853     2411     2411     2408     2408      389.473     0.422645     0.255477
    adpsfc_ps181     9853      371      371      369      369      55.4018      1.31563     0.245653
    adpsfc_ps187     9853     1963     1963     1962     1962      54.9924      1.58405     0.289085
    adpsfc_uv281     9853      652      652      644      644      1.72154     0.468426     0.240663
    adpsfc_uv284     9853      422      422      418      418      1.28251      1.02835     0.445097
    adpsfc_uv287     9853     4172     4172     4160     4160       1.5874     0.509413     0.288036
     adpupa_t120        1        0        0        0        0            0            0            0
     adpupa_q120        1        0        0        0        0            0            0            0
    adpupa_ps120        1        0        0        0        0            0            0            0
    adpupa_uv220        1        0        0        0        0            0            0            0
     aircar_t133    22836    10359    10359    10356    10356     0.930026     0.454283     0.213403
     aircar_q133    22836      799      799      799      799      0.19223     0.302739     0.151347
    aircar_uv233    22836    20900    20900    20894    20894      2.32796     0.569792     0.194259
     sfcshp_t180     3356      721      721      721      721  9.12238e+08    0.0496859    0.0383058
     sfcshp_t183     3356       53       53       53       53  2.37915e+09    0.0809451    0.0459909
     sfcshp_q180     3356      509      509      509      509   0.00105572     0.359967     0.180527
     sfcshp_q183     3356      323      323      323      323      940.042    0.0740018     0.067484
    sfcshp_ps180     3356     1332     1332     1322     1322      38.2539      4.49199      0.62413
    sfcshp_uv280     3356     2126     2126     2122     2122      2.65236     0.320819     0.138738
    sfcshp_uv282     3356       48       48       44       44      1.07917      1.79295     0.437589
    sfcshp_uv284     3356      276      276      256      256      1.12115      2.30853     0.833624
