        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3916441  3916441  3916441  3782593  3782593            5     0.320627     0.320627
     adpsfc_t181     9393      381      381      372      372       0.7528      3.15229      0.54617
     adpsfc_t183     9393      218      218      216      216  3.40207e+09     0.155712    0.0386048
     adpsfc_t187     9393     2117     2117     2114     2114       2.2585     0.282426     0.140441
     adpsfc_q181     9393     3229     3229     3225     3225      938.795    0.0632581    0.0346561
     adpsfc_q183     9393     3445     3445     3439     3439      967.418    0.0163229   0.00779037
     adpsfc_q187     9393     2451     2451     2447     2447       392.12     0.713052     0.338657
    adpsfc_ps181     9393      382      382      380      380      55.4926     0.665877     0.250607
    adpsfc_ps187     9393     1878     1878     1877     1877      54.8935     0.815551     0.293186
    adpsfc_uv281     9393      668      668      664      664      1.72194     0.620131     0.322139
    adpsfc_uv284     9393      432      432      424      424      1.28489      1.14998     0.535652
    adpsfc_uv287     9393     4032     4032     4020     4020       1.5874     0.637069     0.396837
     aircar_t133    60367    26224    26224    26204    26204     0.911348      0.38919     0.209348
     aircar_q133    60367     1969     1969     1969     1969     0.473316     0.280687     0.172984
    aircar_uv233    60367    52828    52828    52786    52786      2.32526      0.49379     0.234204
     sfcshp_t180     3194      697      697      696      696  8.47579e+08    0.0845892    0.0530198
     sfcshp_t183     3194       57       57       57       57  1.32453e+09     0.359314     0.241569
     sfcshp_q180     3194      493      493      492      492    0.0011067     0.903467     0.386024
     sfcshp_q183     3194      341      341      340      340      933.693     0.449489     0.349314
    sfcshp_ps180     3194      792      792      783      783      38.1011      2.44498     0.793714
    sfcshp_uv280     3194     1286     1286     1284     1284      2.65007     0.325494     0.151005
    sfcshp_uv282     3194       44       44       44       44      1.07911      2.16976     0.558682
    sfcshp_uv284     3194      272      272      242      242      1.13454      1.88403     0.881583
