               program              observation         number         status
            larccld.fd                GOES_EAST        1042086           read
            larccld.fd                GOES_WEST         828081           read
           metarcld.fd                raw_METAR           6382           read
           metarcld.fd       METAR_on_MPAS_mesh        1062130      processed
          lightning.fd            raw_lightning          10553           read
          lightning.fd   lightning_on_MPAS_mesh            976      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           62.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1062130       ingested
      cloudanalysis.fd                lightning            976       ingested
      cloudanalysis.fd                     refl             33       ingested
