loop1: max_iter=50, norm_reduction(target=0.001, final=0.000805199)
  i                   resNorm                         J                        Jb                      JoJc
 26           15.446652539146      1051640.881213712972         2928.742035443919      1048712.139178270008
 27           14.157090767662      1051638.386456171051         2936.506489333397      1048701.879966836888
 28           11.228969114361      1051636.354928248096         2943.147024493743      1048693.207903753966
 29            8.897418128957      1051634.707756747957         2948.816980098827      1048685.890776648885
 30            7.640555102997      1051633.576813746942         2952.917970080346      1048680.658843667014
 31            5.880448537152      1051632.857558509102         2955.651874222654      1048677.205684286077
 32            4.878049949839      1051632.297475961037         2957.881623785411      1048674.415852175094
 33            4.243057056372      1051631.918004649924         2959.466224769168      1048672.451779881027
 34            3.202338931404      1051631.648345756112         2960.645392237105      1048671.002953519113
 35            2.693539840544      1051631.455798638053         2961.527383271753      1048669.928415365983
 36            2.321759249533      1051631.337520149071         2962.093746856601      1048669.243773292052
 37            1.999516829637      1051631.262966814917         2962.464862866339      1048668.798103947891
 38            1.594062789459      1051631.213173087919         2962.721462133050      1048668.491710955044
 39            1.357244634758      1051631.172523242887         2962.938529545594      1048668.233993696980
 40            1.055435728449      1051631.145762041910         2963.086715499760      1048668.059046542039

loop2: max_iter=50, norm_reduction(target=0.001, final=0.000989509)
  i                   resNorm                         J                        Jb                      JoJc
  0           42.750014886905      1051660.939396027941         2963.086715499760      1048697.852680528071
  1           52.273526706242      1051648.669455442112         2964.173113567846      1048684.496341873892
  2           41.799431143281      1051639.627545421943         2964.670323310751      1048674.957222111989
  3           23.496846345553      1051634.351903924951         2965.196098095141      1048669.155805829912
  4           30.351818897527      1051630.610223422991         2966.175705300719      1048664.434518122114
  5           28.957968351834      1051625.852571710944         2967.838392957599      1048658.014178752899
  6           16.434418749198      1051622.904803636018         2969.444582211479      1048653.460221424932
  7           14.700169344737      1051619.692648391938         2971.972481169391      1048647.720167222898
  8           12.436321074767      1051617.171539135044         2974.768028226525      1048642.403510909062
  9           11.665646659814      1051615.129771338077         2977.223663861180      1048637.906107476912
 10           11.617606417693      1051613.785144163063         2978.959861406080      1048634.825282756938
 11           10.309709793150      1051612.740608836990         2980.378336514336      1048632.362272323109
 12            8.437926526004      1051611.987888209987         2981.348267393114      1048630.639620816102
 13            6.901706592654      1051611.368440289050         2981.850272318540      1048629.518167970935
 14            6.952451256291      1051610.824163608020         2982.826658806929      1048627.997504801024
 15            5.384442809355      1051610.352211012971         2983.517332716309      1048626.834878297057
 16            4.976213167116      1051610.091207260033         2983.932523077847      1048626.158684181981
 17            4.730343833128      1051609.865328340093         2984.157862580333      1048625.707465759013
 18            4.258138226897      1051609.698057959089         2984.331257146305      1048625.366800813004
 19            3.242965359484      1051609.562069199048         2984.464000819650      1048625.098068380030
 20            3.028127500584      1051609.442701624939         2984.539290827369      1048624.903410797007
 21            2.392780727169      1051609.369780560955         2984.480970344324      1048624.888810216915
 22            2.420195385553      1051609.303537196945         2984.402548841981      1048624.900988355046
 23            1.990888983325      1051609.255488452967         2984.361516665916      1048624.893971787067
 24            1.475849970921      1051609.214128792053         2984.290368606969      1048624.923760185018
 25            1.260801498662      1051609.184082984924         2984.231482586853      1048624.952600398101
 26            1.018572054403      1051609.164366791025         2984.192345202601      1048624.972021587892
 27            0.861781140570      1051609.147204177920         2984.202693885372      1048624.944510292029
 28            0.832706495661      1051609.138390952023         2984.200447957387      1048624.937942994991
 29            0.686143640107      1051609.131090793991         2984.189777600753      1048624.941313194111
 30            0.569790708585      1051609.126513900002         2984.175202047665      1048624.951311852084
 31            0.463810941195      1051609.122198086930         2984.153338328998      1048624.968859757995
 32            0.394928485418      1051609.119515880011         2984.143969126132      1048624.975546753965
 33            0.299588735071      1051609.117216317914         2984.116873402633      1048625.000342915999
 34            0.249448320159      1051609.115678048925         2984.095618162563      1048625.020059887087
 35            0.219306875959      1051609.114656603895         2984.062248070599      1048625.052408534102
 36            0.176652302573      1051609.113959766924         2984.048113282141      1048625.065846485086
 37            0.150998288550      1051609.113576327916         2984.043798772194      1048625.069777555997
 38            0.118238972758      1051609.113216249971         2984.041447249418      1048625.071769000031
 39            0.095799963384      1051609.112995340023         2984.041701397959      1048625.071293941932
 40            0.087241832224      1051609.112848294899         2984.050013628251      1048625.062834666111
 41            0.073826564876      1051609.112754533999         2984.056468429249      1048625.056286104023
 42            0.052387467441      1051609.112678274047         2984.064781215188      1048625.047897059005
 43            0.042301522821      1051609.112621162087         2984.071534748078      1048625.041086413898

