               program              observation         number         status
            larccld.fd                GOES_EAST        1042414           read
            larccld.fd                GOES_WEST         820478           read
           metarcld.fd                raw_METAR           5812           read
           metarcld.fd       METAR_on_MPAS_mesh        1055787      processed
          lightning.fd            raw_lightning          28970           read
          lightning.fd   lightning_on_MPAS_mesh           2634      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           66.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1055787       ingested
      cloudanalysis.fd                lightning           2634       ingested
      cloudanalysis.fd                     refl             33       ingested
