        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3880111  3880111  3880111  3746841  3746841            5     0.244851     0.244851
     adpsfc_t181     8150      364      364      362      362       0.7528      1.41166       0.7373
     adpsfc_t183     8150      217      217      215      215  3.04997e+09    0.0670042    0.0453161
     adpsfc_t187     8150     2051     2051     2050     2050       2.2585     0.197005     0.172932
     adpsfc_q181     8150     2698     2698     2696     2696      930.111    0.0530718    0.0242418
     adpsfc_q183     8150     2912     2912     2908     2908      961.896    0.0199082   0.00990969
     adpsfc_q187     8150     2360     2360     2358     2358      389.799     0.506677     0.348419
    adpsfc_ps181     8150      365      365      363      363      55.5948      1.46324     0.217876
    adpsfc_ps187     8150     1942     1942     1942     1942      55.0418      2.23709     0.282904
    adpsfc_uv281     8150      642      642      638      638       1.7241     0.422346     0.200935
    adpsfc_uv284     8150      430      430      426      426      1.27987      0.83184      0.34457
    adpsfc_uv287     8150     4068     4068     4054     4052       1.5874     0.423841     0.258049
     aircar_t133    12153     4905     4905     4898     4898     0.942441     0.415501     0.159694
     aircar_q133    12153      196      196      196      196       0.2805     0.958943     0.482588
    aircar_uv233    12153     9864     9864     9844     9844      2.32792     0.502314      0.17622
     sfcshp_t180     3151      652      652      650      650  6.79366e+08    0.0665639     0.102994
     sfcshp_t183     3151       47       47       47       47  2.52646e+09     0.214219     0.194673
     sfcshp_q180     3151      448      448      446      446   0.00100277     0.469893     0.282956
     sfcshp_q183     3151      302      302      300      300      942.455     0.039722    0.0365339
    sfcshp_ps180     3151     1254     1254     1248     1248      38.2741      2.94114     0.727263
    sfcshp_uv280     3151     2016     2016     2014     2014       2.6506     0.212351     0.124749
    sfcshp_uv282     3151       32       32       32       32      1.07924     0.516303     0.218421
    sfcshp_uv284     3151      244      244      244      244      1.12566      1.06402     0.293245
