               program              observation         number         status
            larccld.fd                GOES_EAST        1050425           read
            larccld.fd                GOES_WEST              0           read
           metarcld.fd                raw_METAR           7356           read
           metarcld.fd       METAR_on_MPAS_mesh        1091059      processed
          lightning.fd            raw_lightning          27963           read
          lightning.fd   lightning_on_MPAS_mesh           1569      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           65.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1091059       ingested
      cloudanalysis.fd                lightning           1569       ingested
      cloudanalysis.fd                     refl             33       ingested
