        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3887761  3887761  3887761  3754350  3754350            5     0.216767     0.216767
     adpsfc_t181     9507      362      362      358      358       0.7528      1.86568     0.931841
     adpsfc_t183     9507      216      216      214      214  3.13258e+09     0.109052    0.0693751
     adpsfc_t187     9507     2070     2070     2070     2070       2.2585     0.235255     0.193024
     adpsfc_q181     9507     3288     3288     3286     3286      943.012    0.0542376    0.0323493
     adpsfc_q183     9507     3500     3500     3496     3496      968.531    0.0195226    0.0105417
     adpsfc_q187     9507     2380     2380     2378     2378      387.615     0.501098     0.301859
    adpsfc_ps181     9507      363      363      361      361      55.5773        1.153     0.202499
    adpsfc_ps187     9507     1955     1955     1953     1953      55.0817      1.64994     0.293995
    adpsfc_uv281     9507      646      646      642      642      1.72281     0.363461     0.153309
    adpsfc_uv284     9507      428      428      424      424      1.28434     0.889187     0.305406
    adpsfc_uv287     9507     4140     4140     4128     4128       1.5874     0.470473      0.25029
     aircar_t133    10299     3721     3721     3718     3718      1.00102     0.419919     0.204695
     aircar_q133    10299      111      111      111      111     0.281068     0.521367     0.188517
    aircar_uv233    10299     7604     7604     7596     7596      2.33793     0.621038     0.205687
     sfcshp_t180     3314      712      712      711      711  1.06074e+09    0.0659399    0.0556425
     sfcshp_t183     3314       55       55       55       55  1.90693e+09      0.16873     0.132404
     sfcshp_q180     3314      502      502      501      501   0.00115708     0.616822     0.276499
     sfcshp_q183     3314      324      324      323      323      931.789    0.0689175    0.0559671
    sfcshp_ps180     3314     1326     1326     1312     1312      38.5363      2.64826     0.700414
    sfcshp_uv280     3314     2118     2118     2116     2116      2.65783     0.248586     0.120591
    sfcshp_uv282     3314       36       36       36       36      1.07921     0.954807     0.210777
    sfcshp_uv284     3314      278      278      274      274      1.12464      1.47805     0.375832
