               program              observation         number         status
            larccld.fd                GOES_EAST        1048989           read
            larccld.fd                GOES_WEST         819658           read
           metarcld.fd                raw_METAR           5749           read
           metarcld.fd       METAR_on_MPAS_mesh        1062286      processed
          lightning.fd            raw_lightning          41913           read
          lightning.fd   lightning_on_MPAS_mesh           5582      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           63.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1062286       ingested
      cloudanalysis.fd                lightning           5582       ingested
      cloudanalysis.fd                     refl             33       ingested
