               program              observation         number         status
            larccld.fd                GOES_EAST        1043496           read
            larccld.fd                GOES_WEST         822184           read
           metarcld.fd                raw_METAR           5659           read
           metarcld.fd       METAR_on_MPAS_mesh        1110838      processed
          lightning.fd            raw_lightning          37368           read
          lightning.fd   lightning_on_MPAS_mesh           3936      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           62.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1110838       ingested
      cloudanalysis.fd                lightning           3936       ingested
      cloudanalysis.fd                     refl             33       ingested
