               program              observation         number         status
            larccld.fd                GOES_EAST        1032062           read
            larccld.fd                GOES_WEST         823153           read
           metarcld.fd                raw_METAR           7167           read
           metarcld.fd       METAR_on_MPAS_mesh        1109337      processed
          lightning.fd            raw_lightning          33000           read
          lightning.fd   lightning_on_MPAS_mesh           4280      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           71.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1109337       ingested
      cloudanalysis.fd                lightning           4280       ingested
      cloudanalysis.fd                     refl             33       ingested
