               program              observation         number         status
            larccld.fd                GOES_EAST        1043687           read
            larccld.fd                GOES_WEST         823865           read
           metarcld.fd                raw_METAR           5807           read
           metarcld.fd       METAR_on_MPAS_mesh        1093490      processed
          lightning.fd            raw_lightning          18289           read
          lightning.fd   lightning_on_MPAS_mesh            927      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           60.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1093490       ingested
      cloudanalysis.fd                lightning            927       ingested
      cloudanalysis.fd                     refl             33       ingested
