loop1: max_iter=50, norm_reduction(target=0.001, final=0.00179348)
  i                   resNorm                         J                        Jb                      JoJc
  0         2117.090340917329      1706358.112817968009            0.000000000000      1706358.112817968009
  1         2036.986480943596      1696841.244305185974           40.414699343846      1696800.829605842009
  2         1513.900162315366      1691518.518335516099          111.920140495562      1691406.598195021041
  3         1182.538428075286      1686447.983914063079          251.390648031997      1686196.593266031006
  4         1133.789389169211      1682087.223545223009          472.600748337239      1681614.622796885902
  5          942.628793960765      1678763.692591988016          740.898951658495      1678022.793640329037
  6          883.019419963266      1676097.618311332073         1048.562804768523      1675049.055506563978
  7          717.665702134338      1673561.783689219970         1450.527899051625      1672111.255790167954
  8          935.820140941871      1672053.148855804931         1757.098191022647      1670296.050664782058
  9          592.990122823795      1670484.048712776043         2146.705767706952      1668337.342945069075
 10          520.762589928869      1669128.539216675097         2556.245707850363      1666572.293508823961
 11          469.114763187801      1667610.676629930967         3125.412049764750      1664485.264580165967
 12          427.323546305293      1666561.538296602899         3606.468926267295      1662955.069370334968
 13          508.148516286003      1665978.303529187106         3913.724932852335      1662064.578596334904
 14          345.387129123473      1665318.671376710990         4304.665943430545      1661014.005433280021
 15          331.325762692303      1664717.732616085093         4709.765757699201      1660007.966858386062
 16          290.783975431735      1664144.569686606061         5151.510499849151      1658993.059186757077
 17          262.567120599151      1663794.443363618106         5453.869583644708      1658340.573779973900
 18          248.102376691547      1663463.434527599020         5768.883673034643      1657694.550854563946
 19          197.284521051297      1663167.247132672928         6080.409239288645      1657086.837893384043
 20          195.042376919632      1662914.115421606926         6374.520168643046      1656539.595252963947
 21          172.668123552070      1662738.802566667087         6596.966330510100      1656141.836236156989
 22          157.933662868763      1662594.119249433978         6794.949049677842      1655799.170199756976
 23          134.155139355363      1662468.971578662051         6979.200002942108      1655489.771575720049
 24          109.862027678722      1662358.041224522050         7155.094800546356      1655202.946423975984
 25          116.058164899763      1662270.155151065905         7305.149666424379      1654965.005484641995
 26          102.112774876410      1662207.363700598013         7419.612342653243      1654787.751357944915
 27           84.994489297768      1662153.901518096915         7522.920289133936      1654630.981228963006
 28           72.376971651511      1662107.552620240953         7617.912378424147      1654489.640241817106
 29           68.091659041800      1662069.481601119973         7700.741034500446      1654368.740566618973
 30           60.613951944064      1662045.664116783999         7755.315275149233      1654290.348841635045
 31           52.641235468550      1662023.412515922915         7808.759784716398      1654214.652731206967
 32           46.264824955435      1662003.940512089990         7857.978750314502      1654145.961761774961
 33           45.439825700876      1661990.785568801919         7892.851733836404      1654097.933834966039
 34           35.035822718259      1661980.265754990047         7921.926136269102      1654058.339618721046
 35           32.523920019453      1661970.539251548005         7950.006687406626      1654020.532564142020
 36           26.499018730397      1661963.158971631899         7972.292021844088      1653990.866949788062
 37           25.154356011117      1661956.965391047066         7991.845144285349      1653965.120246761944
 38           21.270314837365      1661953.254473167937         8004.033051163537      1653949.221422004979
 39           17.911818280325      1661949.324307455914         8017.454778173679      1653931.869529281976
 40           16.718119958670      1661946.868529814994         8026.180934144179      1653920.687595671043
 41           14.657940262795      1661944.824576768093         8033.708057953296      1653911.116518815048
 42           12.252286851834      1661943.226081677014         8039.808574129811      1653903.417507546954
 43           10.862986055709      1661942.082532536937         8044.321798675169      1653897.760733861942
 44            9.510900241300      1661941.110273733037         8048.288722535808      1653892.821551196976
 45            8.523994714501      1661940.387712900992         8051.336839836212      1653889.050873064902
 46            6.762631782625      1661939.782343540108         8053.976506717534      1653885.805836821906
 47            6.304059253890      1661939.347252686974         8055.937130837903      1653883.410121849971
 48            5.110369078277      1661939.022596101975         8057.446260214490      1653881.576335886959
 49            4.440485974022      1661938.761154618114         8058.699860849732      1653880.061293767998
 50            3.796959101114      1661938.573775915895         8059.626493889778      1653878.947282026056

loop2: max_iter=50, norm_reduction(target=0.001, final=0.00365756)
  i                   resNorm                         J                        Jb                      JoJc
  0           62.606185319806      1661941.105554183945         8059.626493889778      1653881.479060295038
