               program              observation         number         status
            larccld.fd                GOES_EAST        1050716           read
            larccld.fd                GOES_WEST         821656           read
           metarcld.fd                raw_METAR           5588           read
           metarcld.fd       METAR_on_MPAS_mesh        1055104      processed
          lightning.fd            raw_lightning          46248           read
          lightning.fd   lightning_on_MPAS_mesh           2493      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           67.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1055104       ingested
      cloudanalysis.fd                lightning           2493       ingested
      cloudanalysis.fd                     refl             33       ingested
