loop1: max_iter=50, norm_reduction(target=0.001, final=0.000870294)
  i                   resNorm                         J                        Jb                      JoJc
  0         1147.014442217436        21420.651370131669            0.000000000000        21420.651370131669
  1          537.486135445688        17461.721265331049           23.825821945804        17437.895443385241
  2          398.311816600636        15324.690660340961           88.107375836036        15236.583284504921
  3          370.383601569591        14150.034701620119          173.679850770261        13976.354850849861
  4          273.179005504477        13076.843584299149          319.430736167747        12757.412848131400
  5          292.053854063103        12327.375702438570          484.939330769601        11842.436371668970
  6          205.561738631213        11757.750551892341          665.248558814570        11092.501993077771
  7          214.143286681701        11385.271142694201          819.855221174278        10565.415921519920
  8          176.856579285100        11065.892138452349          986.304118316159        10079.588020136191
  9          132.708348180384        10840.946556394090         1128.423743243402         9712.522813150688
 10          161.541579779563        10649.843646836580         1272.451642247230         9377.392004589350
 11           99.522472920884        10484.656214974681         1419.892895468671         9064.763319506008
 12           73.403205699402        10341.450966228520         1570.887477489693         8770.563488738830
 13           63.929544536711        10244.006858258350         1691.997635733020         8552.009222525327
 14           55.524919261767        10179.780967896770         1784.266317477062         8395.514650419706
 15           46.097662639243        10137.052916124099         1853.659890483409         8283.393025640687
 16           36.715883693385        10102.892303469731         1915.864114553763         8187.028188915970
 17           29.300537886316        10080.733343572199         1960.790555887204         8119.942787684996
 18           21.318666347992        10064.591297635259         1996.948494019598         8067.642803615667
 19           18.919238889701        10054.460001644289         2021.929874455961         8032.530127188325
 20           14.938216574431        10048.639737964520         2037.519400330943         8011.120337633574
 21           12.315672110801        10044.758288607611         2048.686677417877         7996.071611189731
 22            9.941664346306        10042.090968992061         2056.906098839044         7985.184870153017
 23            7.533014441547        10040.285475380340         2062.850960879757         7977.434514500580
 24            6.561493793038        10039.042243101139         2067.223611564063         7971.818631537077
 25            4.960599375387        10038.288799816450         2070.042149447645         7968.246650368805
 26            4.047210969658        10037.803566392680         2071.961212121029         7965.842354271647
 27            2.967899160610        10037.440659740239         2073.480967712050         7963.959692028187
 28            2.710553981034        10037.245041912660         2074.346473325982         7962.898568586676
 29            2.144709380167        10037.129813633441         2074.880378526388         7962.249435107049
 30            1.653495696349        10037.047666773309         2075.277614686078         7961.770052087231
 31            1.321883096114        10036.980861419081         2075.616650212353         7961.364211206724
 32            0.998239420819        10036.947778302030         2075.792441019703         7961.155337282331

loop2: max_iter=50, norm_reduction(target=0.001, final=0.000909191)
  i                   resNorm                         J                        Jb                      JoJc
  0           31.374544862118        10148.910773514590         2075.792441019703         8073.118332494890
  1           20.857343574832        10127.464803620220         2078.779394984222         8048.685408635998
  2           35.744257558522        10121.855224271099         2081.053144749439         8040.802079521664
  3           22.548341952054        10112.184133142729         2084.200739018194         8027.983394124542
  4           21.886227005747        10108.623758808260         2086.221495164069         8022.402263644191
  5           15.652644623182        10105.269620428060         2088.770188754511         8016.499431673546
  6           14.879363272067        10101.826607742350         2092.387883851981         8009.438723890369
  7           13.075749696815        10100.105927621669         2094.151223050647         8005.954704571019
  8           11.630795638748        10098.913119716810         2095.328872847538         8003.584246869274
  9            8.002425210031        10097.493287602070         2097.041041667762         8000.452245934306
 10            9.724419550452        10096.710809798349         2097.893644654478         7998.817165143877
 11            6.932313634303        10096.243215270761         2098.437766177256         7997.805449093505
 12            7.189180312838        10095.567870972240         2099.007433120247         7996.560437851989
 13            6.118970548131        10095.196419387399         2099.283886882921         7995.912532504474
 14            4.509140791064        10094.750299171101         2099.797784496606         7994.952514674491
 15            3.434256384182        10094.431768826660         2099.866463043683         7994.565305782977
 16            2.930443841951        10094.207676503091         2100.053281633742         7994.154394869352
 17            2.317316989888        10094.023735932869         2100.000747471126         7994.022988461749
 18            1.724789368837        10093.918718220430         2099.943200606643         7993.975517613783
 19            1.696162831673        10093.862225025850         2099.961166843616         7993.901058182238
 20            1.255409316813        10093.816240708929         2100.070470351954         7993.745770356973
 21            1.131269999473        10093.786882518780         2100.090357589463         7993.696524929319
 22            0.906271403815        10093.770013178120         2100.134367104693         7993.635646073425
 23            0.710142434009        10093.757968294231         2100.152704409342         7993.605263884885
 24            0.604536323062        10093.749083430461         2100.146343033467         7993.602740396989
 25            0.468065225521        10093.743502697060         2100.187690400601         7993.555812296463
 26            0.388247171192        10093.739373755610         2100.192278609868         7993.547095145741
 27            0.302048143928        10093.736583701129         2100.211787002880         7993.524796698252
 28            0.243787118342        10093.734761991969         2100.231538122600         7993.503223869366
 29            0.171835746253        10093.733497737951         2100.246022930867         7993.487474807080
 30            0.173245896187        10093.732853710469         2100.252760331161         7993.480093379312
 31            0.127246463812        10093.732363007501         2100.253986947643         7993.478376059862
 32            0.101169693345        10093.732062479779         2100.256744127601         7993.475318352179
 33            0.078072559747        10093.731873274901         2100.259064069949         7993.472809204946
 34            0.058441014456        10093.731719235309         2100.257269814593         7993.474449420722
 35            0.043388747617        10093.731619655189         2100.254203817920         7993.477415837266
 36            0.037097036078        10093.731568539060         2100.251880883822         7993.479687655238
 37            0.028525452515        10093.731539198450         2100.249074629894         7993.482464568557

