        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
     adpsfc_t181     9597     3660      370      366      366       0.7528      1.20053     0.687361
     adpsfc_t183     9597     3660      218      216      216  3.26315e+09    0.0817429    0.0510083
     adpsfc_t187     9597     2710     2079     2079     2079       2.2585     0.246356     0.210793
     adpsfc_q181     9597     3564     3305     3303     3303      942.027    0.0425417    0.0228081
     adpsfc_q183     9597     3564     3520     3516     3516      968.267    0.0180599   0.00863053
     adpsfc_q187     9597     2658     2402     2400     2400      390.122     0.387199     0.250983
    adpsfc_ps181     9597     7406      371      368      368      55.1937      0.99782     0.343421
    adpsfc_ps187     9597     2757     1973     1973     1973      55.0826      1.74985     0.299612
    adpsfc_uv281     9597     7236      718      712      712        1.721     0.396532     0.173953
    adpsfc_uv284     9597     9178      432      428      428      1.28243     0.867254     0.321372
    adpsfc_uv287     9597     5366     4138     4136     4136       1.5874     0.422761     0.238483
     aircar_t133    11901     4767     4767     4755     4755     0.952487     0.540689     0.261176
     aircar_q133    11901      302      302      302      302     0.540596     0.128682     0.073256
    aircar_uv233    11901     9706     9706     9692     9692      2.33284     0.494349     0.196886
     sfcshp_t180     2964      787      577      576      576  7.21688e+08    0.0770762    0.0674139
     sfcshp_t183     2964      321       62       62       62     1.27e+09     0.100701    0.0777268
     sfcshp_q180     2964      480      375      374      374   0.00103734     0.557438     0.255723
     sfcshp_q183     2964      257      250      249      249      904.234     0.077054    0.0431002
    sfcshp_ps180     2964     2945     1166     1157     1157      38.2749      4.00339     0.834913
    sfcshp_uv280     2964     2550     1806     1804     1804      2.65395     0.213839     0.128846
    sfcshp_uv282     2964     2550       50       50       50      1.07915     0.632051     0.131958
    sfcshp_uv284     2964     2550      302      302      302      1.11914       1.2177     0.568476
