               program              observation         number         status
            larccld.fd                GOES_EAST        1048004           read
            larccld.fd                GOES_WEST         824582           read
           metarcld.fd                raw_METAR           4956           read
           metarcld.fd       METAR_on_MPAS_mesh        1059793      processed
          lightning.fd            raw_lightning          14711           read
          lightning.fd   lightning_on_MPAS_mesh           1508      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           61.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1059793       ingested
      cloudanalysis.fd                lightning           1508       ingested
      cloudanalysis.fd                     refl             33       ingested
