               program              observation         number         status
            larccld.fd                GOES_EAST        1041298           read
            larccld.fd                GOES_WEST         817807           read
           metarcld.fd                raw_METAR           7285           read
           metarcld.fd       METAR_on_MPAS_mesh        1087939      processed
          lightning.fd            raw_lightning          15841           read
          lightning.fd   lightning_on_MPAS_mesh           1500      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           61.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1087939       ingested
      cloudanalysis.fd                lightning           1500       ingested
      cloudanalysis.fd                     refl             33       ingested
