               program              observation         number         status
            larccld.fd                GOES_EAST        1044035           read
            larccld.fd                GOES_WEST         822555           read
           metarcld.fd                raw_METAR           5583           read
           metarcld.fd       METAR_on_MPAS_mesh        1059521      processed
          lightning.fd            raw_lightning          19798           read
          lightning.fd   lightning_on_MPAS_mesh           3029      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           62.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1059521       ingested
      cloudanalysis.fd                lightning           3029       ingested
      cloudanalysis.fd                     refl             33       ingested
