               program              observation         number         status
            larccld.fd                GOES_EAST        1049795           read
            larccld.fd                GOES_WEST         823540           read
           metarcld.fd                raw_METAR           5306           read
           metarcld.fd       METAR_on_MPAS_mesh        1103692      processed
          lightning.fd            raw_lightning          55393           read
          lightning.fd   lightning_on_MPAS_mesh           9057      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           66.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1103692       ingested
      cloudanalysis.fd                lightning           9057       ingested
      cloudanalysis.fd                     refl             33       ingested
