               program              observation         number         status
            larccld.fd                GOES_EAST        1044570           read
            larccld.fd                GOES_WEST         821376           read
           metarcld.fd                raw_METAR           5562           read
           metarcld.fd       METAR_on_MPAS_mesh        1113411      processed
          lightning.fd            raw_lightning          19816           read
          lightning.fd   lightning_on_MPAS_mesh           1718      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           61.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1113411       ingested
      cloudanalysis.fd                lightning           1718       ingested
      cloudanalysis.fd                     refl             33       ingested
