               program              observation         number         status
            larccld.fd                GOES_EAST        1046952           read
            larccld.fd                GOES_WEST         826012           read
           metarcld.fd                raw_METAR           5680           read
           metarcld.fd       METAR_on_MPAS_mesh        1066196      processed
          lightning.fd            raw_lightning          28980           read
          lightning.fd   lightning_on_MPAS_mesh           1907      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           66.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1066196       ingested
      cloudanalysis.fd                lightning           1907       ingested
      cloudanalysis.fd                     refl             33       ingested
