               program              observation         number         status
            larccld.fd                GOES_EAST        1040581           read
            larccld.fd                GOES_WEST         824236           read
           metarcld.fd                raw_METAR           5648           read
           metarcld.fd       METAR_on_MPAS_mesh        1090582      processed
          lightning.fd            raw_lightning          49941           read
          lightning.fd   lightning_on_MPAS_mesh           5964      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           71.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1090582       ingested
      cloudanalysis.fd                lightning           5964       ingested
      cloudanalysis.fd                     refl             33       ingested
